Timestamp,ECG1,ECG2
2024-01-01 00:00:00.000,0.16,-0.29
2024-01-01 00:00:00.008,0.18,-0.3
2024-01-01 00:00:00.016,0.17,-0.32
2024-01-01 00:00:00.023,0.18,-0.29
2024-01-01 00:00:00.031,0.18,-0.31
2024-01-01 00:00:00.039,0.17,-0.33
2024-01-01 00:00:00.047,0.17,-0.33
2024-01-01 00:00:00.055,0.13,-0.36
2024-01-01 00:00:00.063,0.13,-0.39
2024-01-01 00:00:00.070,0.1,-0.39
2024-01-01 00:00:00.078,0.06,-0.35
2024-01-01 00:00:00.086,0.04,-0.31
2024-01-01 00:00:00.094,0.01,-0.27
2024-01-01 00:00:00.102,-0.01,-0.2
2024-01-01 00:00:00.109,-0.02,-0.15
2024-01-01 00:00:00.117,-0.02,-0.15
2024-01-01 00:00:00.125,-0.02,-0.16
2024-01-01 00:00:00.133,-0.03,-0.12
2024-01-01 00:00:00.141,0.0,-0.14
2024-01-01 00:00:00.148,0.0,-0.16
2024-01-01 00:00:00.156,0.0,-0.18
2024-01-01 00:00:00.164,0.02,-0.15
2024-01-01 00:00:00.172,0.03,-0.18
2024-01-01 00:00:00.180,0.04,-0.2
2024-01-01 00:00:00.188,0.03,-0.17
2024-01-01 00:00:00.195,0.07,-0.19
2024-01-01 00:00:00.203,0.05,-0.22
2024-01-01 00:00:00.211,0.06,-0.21
2024-01-01 00:00:00.219,0.05,-0.21
2024-01-01 00:00:00.227,0.05,-0.22
2024-01-01 00:00:00.234,0.05,-0.24
2024-01-01 00:00:00.242,0.05,-0.21
2024-01-01 00:00:00.250,0.06,-0.21
2024-01-01 00:00:00.258,0.05,-0.23
2024-01-01 00:00:00.266,0.05,-0.23
2024-01-01 00:00:00.273,0.03,-0.21
2024-01-01 00:00:00.281,0.03,-0.23
2024-01-01 00:00:00.289,0.03,-0.23
2024-01-01 00:00:00.297,0.02,-0.21
2024-01-01 00:00:00.305,0.02,-0.21
2024-01-01 00:00:00.313,0.02,-0.24
2024-01-01 00:00:00.320,0.01,-0.26
2024-01-01 00:00:00.328,0.0,-0.24
2024-01-01 00:00:00.336,0.0,-0.24
2024-01-01 00:00:00.344,0.0,-0.26
2024-01-01 00:00:00.352,-0.01,-0.22
2024-01-01 00:00:00.359,0.0,-0.24
2024-01-01 00:00:00.367,-0.01,-0.25
2024-01-01 00:00:00.375,-0.01,-0.27
2024-01-01 00:00:00.383,-0.01,-0.26
2024-01-01 00:00:00.391,-0.01,-0.25
2024-01-01 00:00:00.398,-0.01,-0.27
2024-01-01 00:00:00.406,-0.02,-0.26
2024-01-01 00:00:00.414,-0.02,-0.24
2024-01-01 00:00:00.422,-0.01,-0.27
2024-01-01 00:00:00.430,-0.01,-0.27
2024-01-01 00:00:00.438,0.0,-0.21
2024-01-01 00:00:00.445,0.06,-0.18
2024-01-01 00:00:00.453,0.05,-0.2
2024-01-01 00:00:00.461,0.09,-0.14
2024-01-01 00:00:00.469,0.11,-0.07
2024-01-01 00:00:00.477,0.16,0.12
2024-01-01 00:00:00.484,0.13,0.07
2024-01-01 00:00:00.492,0.05,0.11
2024-01-01 00:00:00.500,0.03,0.09
2024-01-01 00:00:00.508,-0.09,-0.04
2024-01-01 00:00:00.516,-0.12,-0.06
2024-01-01 00:00:00.523,-0.09,-0.06
2024-01-01 00:00:00.531,-0.08,-0.2
2024-01-01 00:00:00.539,-0.09,-0.3
2024-01-01 00:00:00.547,-0.08,-0.28
2024-01-01 00:00:00.555,-0.08,-0.26
2024-01-01 00:00:00.563,-0.07,-0.27
2024-01-01 00:00:00.570,-0.08,-0.34
2024-01-01 00:00:00.578,0.09,-0.32
2024-01-01 00:00:00.586,0.45,0.84
2024-01-01 00:00:00.594,0.79,3.93
2024-01-01 00:00:00.602,-1.17,5.11
2024-01-01 00:00:00.609,-1.91,5.0
2024-01-01 00:00:00.617,-1.64,1.32
2024-01-01 00:00:00.625,-1.28,-0.67
2024-01-01 00:00:00.633,-0.52,-0.48
2024-01-01 00:00:00.641,-0.15,-0.28
2024-01-01 00:00:00.648,-0.03,-0.38
2024-01-01 00:00:00.656,-0.03,-0.39
2024-01-01 00:00:00.664,0.01,-0.39
2024-01-01 00:00:00.672,0.03,-0.4
2024-01-01 00:00:00.680,0.05,-0.41
2024-01-01 00:00:00.688,0.06,-0.37
2024-01-01 00:00:00.695,0.08,-0.37
2024-01-01 00:00:00.703,0.09,-0.4
2024-01-01 00:00:00.711,0.1,-0.36
2024-01-01 00:00:00.719,0.13,-0.35
2024-01-01 00:00:00.727,0.14,-0.36
2024-01-01 00:00:00.734,0.16,-0.38
2024-01-01 00:00:00.742,0.15,-0.33
2024-01-01 00:00:00.750,0.18,-0.33
2024-01-01 00:00:00.758,0.2,-0.34
2024-01-01 00:00:00.766,0.22,-0.33
2024-01-01 00:00:00.773,0.22,-0.31
2024-01-01 00:00:00.781,0.26,-0.33
2024-01-01 00:00:00.789,0.28,-0.35
2024-01-01 00:00:00.797,0.28,-0.33
2024-01-01 00:00:00.805,0.3,-0.35
2024-01-01 00:00:00.813,0.29,-0.36
2024-01-01 00:00:00.820,0.29,-0.4
2024-01-01 00:00:00.828,0.27,-0.41
2024-01-01 00:00:00.836,0.24,-0.45
2024-01-01 00:00:00.844,0.21,-0.49
2024-01-01 00:00:00.852,0.17,-0.46
2024-01-01 00:00:00.859,0.13,-0.45
2024-01-01 00:00:00.867,0.1,-0.41
2024-01-01 00:00:00.875,0.05,-0.35
2024-01-01 00:00:00.883,0.03,-0.25
2024-01-01 00:00:00.891,0.04,-0.2
2024-01-01 00:00:00.898,0.05,-0.17
2024-01-01 00:00:00.906,0.04,-0.12
2024-01-01 00:00:00.914,0.05,-0.1
2024-01-01 00:00:00.922,0.06,-0.12
